Codi	Poblacio	Residential No Name(m)	Num Residential No Name	Living Street No Name(m)	Num Living Street No Name	Total No Name(m)	Total(Residential + Living street)	Perc280616
250019	Abella de la Conca	823,845	10	0,000	0	823,845	823,845	1,00
1080018	Abrera	13.386,874	96	0,000	0	13.386,874	57.117,559	0,23
250024	Àger	1.941,138	31	427,981	9	2.369,118	11.755,799	0,20
250030	Agramunt	3.653,254	66	0,000	0	3.653,254	32.932,415	0,11
1080023	Aguilar de Segarra	939,270	5	114,573	2	1.053,843	1.053,843	1,00
170010	Agullana	0,000	0	0,000	0	0,000	6.458,210	0,00
1080142	Aiguafreda	740,115	19	53,543	2	793,658	14.741,496	0,05
430017	Aiguamúrcia	2.642,873	14	153,608	4	2.796,481	18.669,276	0,15
170025	Aiguaviva	1.156,738	10	71,627	1	1.228,365	10.963,568	0,11
250387	Aitona	3.583,899	18	0,000	0	3.583,899	10.307,189	0,35
250058	Alàs i Cerc	1.866,979	26	716,634	11	2.583,613	4.635,332	0,56
170031	Albanyà	22,802	1	0,000	0	22,802	1.710,586	0,01
250077	Albatàrrec	4.831,275	23	0,000	0	4.831,275	10.627,239	0,45
250083	Albesa	2.847,259	20	0,000	0	2.847,259	10.519,643	0,27
430022	Albinyana	24,696	1	0,000	0	24,696	22.707,323	0,00
170046	Albons	513,653	6	103,740	3	617,393	8.435,829	0,07
430043	Alcanar	6.618,919	51	241,135	2	6.860,054	60.165,114	0,11
250100	Alcanó	802,366	11	0,000	0	802,366	2.492,472	0,32
250117	Alcarràs	13.190,687	79	376,989	3	13.567,676	35.349,090	0,38
250122	Alcoletge	4.659,778	41	0,000	0	4.659,778	17.999,885	0,26
430056	Alcover	18.493,405	65	393,125	17	18.886,530	32.474,120	0,58
430069	Aldover	752,458	11	0,000	0	752,458	2.788,869	0,27
1080039	Alella	2.965,828	31	1.317,608	7	4.283,436	61.568,821	0,07
430081	Alfara de Carles	498,463	5	320,440	11	818,903	2.485,090	0,33
250138	Alfarràs	3.663,402	39	0,000	0	3.663,402	11.531,374	0,32
250143	Alfés	0,000	0	88,494	2	88,494	2.743,622	0,03
430094	Alforja	4.055,807	40	0,000	0	4.055,807	16.041,397	0,25
250156	Algerri	284,675	3	234,402	6	519,077	4.156,518	0,12
250169	Alguaire	10.283,631	83	0,000	0	10.283,631	20.652,143	0,50
250175	Alins	420,067	3	2.809,353	34	3.229,419	4.260,321	0,76
430108	Alió	2.728,227	16	120,902	3	2.849,129	4.432,684	0,64
250194	Almacelles	6.462,960	31	0,000	0	6.462,960	30.650,733	0,21
250208	Almatret	978,588	2	0,000	0	978,588	3.063,814	0,32
250215	Almenar	1.971,847	15	752,588	9	2.724,435	16.848,803	0,16
430115	Almoster	3.787,868	6	132,453	4	3.920,321	10.492,189	0,37
250220	Alòs de Balaguer	0,000	0	92,212	4	92,212	1.906,748	0,05
170062	Alp	9.173,477	51	361,507	8	9.534,984	21.476,525	0,44
1080044	Alpens	203,296	5	862,774	12	1.066,070	2.786,603	0,38
250236	Alpicat	20.361,428	89	0,000	0	20.361,428	36.483,533	0,56
250241	Alt Àneu	1.230,834	17	673,239	11	1.904,073	7.666,784	0,25
430120	Altafulla	1.710,768	34	147,150	2	1.857,918	30.544,823	0,06
170078	Amer	227,257	5	35,330	2	262,587	8.647,775	0,03
430141	Amposta	4.814,151	52	0,000	0	4.814,151	88.684,391	0,05
170084	Anglès	409,395	4	515,633	6	925,028	16.351,112	0,06
250273	Anglesola	2.589,344	21	0,000	0	2.589,344	10.487,401	0,25
250292	Arbeca	704,568	12	76,117	2	780,685	21.013,814	0,04
430154	Arbolí	0,000	0	188,948	4	188,948	867,179	0,22
170097	Arbúcies	6.638,722	28	0,000	0	6.638,722	24.808,410	0,27
1080060	Arenys de Mar	7.273,239	57	0,000	0	7.273,239	40.783,707	0,18
1080076	Arenys de Munt	16.508,594	59	0,000	0	16.508,594	39.421,237	0,42
170101	Argelaguer	1.486,619	3	388,781	2	1.875,399	4.005,459	0,47
1080082	Argençola	2.065,805	16	1.025,696	11	3.091,501	3.621,220	0,85
1080095	Argentona	16.310,537	64	249,592	2	16.560,129	57.799,184	0,29
430189	Arnes	8,624	1	940,944	17	949,568	3.945,730	0,24
250313	Arres	28,376	2	290,965	12	319,341	1.136,687	0,28
250328	Arsèguel	620,716	10	0,000	0	620,716	1.217,907	0,51
1080109	Artés	2.309,364	40	113,193	3	2.422,556	25.012,426	0,10
250334	Artesa de Lleida	2.558,160	26	290,308	6	2.848,467	8.426,737	0,34
250349	Artesa de Segre	5.808,309	113	1.860,465	26	7.668,774	25.425,943	0,30
430192	Ascó	2.304,354	12	475,839	12	2.780,193	10.256,586	0,27
250365	Aspa	1.039,879	10	417,348	5	1.457,228	3.155,569	0,46
1080116	Avià	2.123,947	23	604,326	3	2.728,273	9.030,651	0,30
1080121	Avinyó	4.316,888	26	213,677	3	4.530,565	14.977,932	0,30
170123	Avinyonet de Puigventós	0,000	0	0,000	0	0,000	10.005,308	0,00
1080137	Avinyonet del Penedès	0,000	0	0,000	0	0,000	16.498,342	0,00
1080155	Badalona	693,922	6	0,000	0	693,922	233.531,279	0,00
1089045	Badia del Vallès	935,575	15	0,000	0	935,575	4.929,854	0,19
1080168	Bagà	4.062,827	39	0,000	0	4.062,827	7.762,230	0,52
250390	Baix Pallars	1.613,227	21	0,000	0	1.613,227	2.988,239	0,54
250404	Balaguer	16.956,171	117	0,000	0	16.956,171	46.622,937	0,36
1080174	Balenyà	5.621,869	43	0,000	0	5.621,869	15.972,463	0,35
1080180	Balsareny	4.197,193	45	0,000	0	4.197,193	16.637,190	0,25
430206	Banyeres del Penedès	309,992	4	0,000	0	309,992	30.091,537	0,01
170157	Banyoles	737,380	7	0,000	0	737,380	66.366,985	0,01
250411	Barbens	2.108,313	16	0,000	0	2.108,313	6.539,784	0,32
430213	Barberà de la Conca	577,707	6	0,000	0	577,707	6.256,683	0,09
1082520	Barberà del Vallès	14.566,473	132	647,652	5	15.214,125	77.841,084	0,20
1080193	Barcelona	21.412,326	233	600,519	11	22.012,845	932.660,734	0,02
170160	Bàscara	4.194,473	38	0,000	0	4.194,473	10.143,251	0,41
250447	Bassella	761,707	7	153,934	2	915,641	1.157,625	0,79
430228	Batea	1.513,977	23	0,000	0	1.513,977	9.725,669	0,16
250450	Bausen	679,033	10	0,000	0	679,033	1.056,078	0,64
1080207	Begues	2.666,516	30	0,000	0	2.666,516	50.805,817	0,05
170139	Begur	28.536,578	138	691,823	9	29.228,401	91.830,348	0,32
250463	Belianes	1.045,043	19	0,000	0	1.045,043	4.982,037	0,21
251706	Bellaguarda	64,996	2	0,000	0	64,996	1.868,195	0,03
170182	Bellcaire d'Empordà	1.506,332	13	0,000	0	1.506,332	6.221,074	0,24
250479	Bellcaire d'Urgell	10.253,538	56	0,000	0	10.253,538	11.992,456	0,85
250485	Bell-lloc d'Urgell	12.381,351	72	0,000	0	12.381,351	21.049,758	0,59
430234	Bellmunt del Priorat	2.875,375	18	0,000	0	2.875,375	2.875,375	1,00
250498	Bellmunt d'Urgell	386,950	6	0,000	0	386,950	3.243,369	0,12
1080214	Bellprat	0,000	0	0,000	0	0,000	1.073,241	0,00
250501	Bellpuig	17.448,114	111	0,000	0	17.448,114	20.986,873	0,83
430249	Bellvei	175,084	3	0,000	0	175,084	25.379,902	0,01
250518	Bellver de Cerdanya	11.357,287	79	3.223,674	34	14.580,960	31.229,729	0,47
250523	Bellvís	1.404,720	30	69,615	1	1.474,334	17.352,628	0,08
250539	Benavent de Segrià	1.610,785	18	0,000	0	1.610,785	5.012,649	0,32
430252	Benifallet	2.197,502	35	0,000	0	2.197,502	4.425,425	0,50
