Id;Poblacio;Total No Name(m);Total(Residential + Living street)
348145;Abella de la Conca;823,8452621;823,8452621
343408;Abrera;32280,15781;56159,88191
348146;Àger;2369,118414;11755,79877
348147;Agramunt;3653,254305;32932,41458
344406;Aguilar de Segarra;1053,842916;1053,842916
348053;Agullana;51,04831063;6458,21028
347953;Aiguafreda;793,6580219;14740,78831
342688;Aiguamúrcia;3422,900021;18669,27561
348055;Aiguaviva;1228,3655;10963,56777
343316;Aitona;3583,898836;10307,18899
348142;Alàs i Cerc;2583,612898;4702,432927
348054;Albanyà;22,80159574;1710,586045
348144;Albatàrrec;4831,275276;10627,23864
348148;Albesa;2847,25896;10519,64277
342689;Albinyana;527,9856357;22707,32325
348057;Albons;617,3933235;8435,829316
342691;Alcanar;6749,109026;60165,1142
343633;Alcanó;802,3656363;2492,471582
343632;Alcarràs;13567,67573;35348,08789
343631;Alcoletge;4659,777841;17999,88461
342692;Alcover;18842,36472;32429,93857
342693;Aldover;752,457505;2788,869046
343410;Alella;7021,342264;63211,93601
342695;Alfara de Carles;818,9027803;2485,089937
343630;Alfarràs;3567,501456;11419,37229
343637;Alfés;88,49393613;2743,622001
342696;Alforja;4055,807289;16041,39694
343636;Algerri;518,4177723;4154,955133
343635;Alguaire;10283,6306;20652,14308
343634;Alins;3229,419187;4260,320807
346862;Alió;2849,128938;4432,684334
343629;Almacelles;6512,521294;30669,8471
347866;Almatret;978,5879176;3063,813577
347867;Almenar;2449,809596;16574,17802
346861;Almoster;3920,32102;10492,18901
347864;Alòs de Balaguer;92,21187642;1906,747893
348059;Alp;9534,984289;21476,52494
343401;Alpens;1066,07001;2786,603121
347865;Alpicat;20361,42784;36483,53302
347862;Alt Àneu;2455,163417;7320,376072
346860;Altafulla;4796,905153;31148,75867
348058;Amer;262,58695;8647,77456
346858;Amposta;5224,351043;88563,1882
348051;Anglès;3377,515391;16351,11174
347861;Anglesola;2528,982815;10410,64146
347860;Arbeca;780,6847551;21013,81413
346857;Arbolí;188,9476154;867,1790717
348050;Arbúcies;6635,50025;24806,7728
343407;Arenys de Mar;7248,167004;39719,09559
343406;Arenys de Munt;16508,59408;39421,23654
343838;Argelaguer;1875,399255;4005,45873
343397;Argençola;3091,501036;3621,220357
343396;Argentona;16560,12901;57799,18433
346864;Arnes;949,5677899;3945,7299
343321;Arres;319,3405109;1133,0969
343324;Arsèguel;620,7155231;1217,907226
347957;Artés;2424,409574;25026,61365
343323;Artesa de Lleida;2848,467209;8426,739531
343318;Artesa de Segre;7668,7741;25421,25685
346863;Ascó;2780,193403;10256,58606
343320;Aspa;1457,227603;3155,568712
347958;Avià;2728,272591;9030,651147
347955;Avinyó;4532,335848;14983,45678
343836;Avinyonet de Puigventós;360,8946832;10017,0042
347956;Avinyonet del Penedès;1319,906809;16498,34109
347954;Badalona;2668,253905;232505,4519
342959;Badia del Vallès;935,5753854;4929,854134
347951;Bagà;4825,20592;8036,099619
343315;Baix Pallars;1613,227072;2988,238874
339817;Balaguer;16956,17067;46622,93725
347952;Balenyà;5621,86915;15972,46344
347949;Balsareny;4197,193159;16637,18998
342337;Banyeres del Penedès;2194,923776;30091,53716
343842;Banyoles;5263,479033;66379,60232
339818;Barbens;2108,312634;6539,784103
342338;Barberà de la Conca;6256,682636;6256,682636
341730;Barberà del Vallès;15214,12521;77841,08449
347950;Barcelona;40340,32566;933736,5136
343840;Bàscara;4194,473256;10140,33457
339821;Bassella;915,6407764;1157,625164
342335;Batea;1513,977236;9725,669167
339822;Bausen;679,0334513;1056,077573
343715;Begues;2666,516158;50805,81713
343837;Begur;29228,40139;91904,7755
339823;Belianes;1045,042579;4982,037086
342830;Bellaguarda;64,99649248;1868,194821
343834;Bellcaire d'Empordà;1506,332275;6221,074259
339824;Bellcaire d'Urgell;10253,53806;11992,45574
339815;Bell-lloc d'Urgell;12381,35075;21049,75804
342336;Bellmunt del Priorat;2875,375174;2875,375174
339816;Bellmunt d'Urgell;386,9500675;3243,368626
343714;Bellprat;1281,645432;1281,645432
344262;Bellpuig;17448,11392;20986,87295
342341;Bellvei;1791,56418;25379,90192
344261;Bellver de Cerdanya;14580,96048;31229,72852
344260;Bellvís;1474,334403;17352,62793
344259;Benavent de Segrià;1610,78453;5012,649023
342342;Benifallet;2197,502478;4425,424986
342339;Benissanet;1955,934217;4926,532965
343713;Berga;21917,09941;44998,86334
343835;Besalú;2374,684078;18635,5406
348893;Bescanó;1555,473046;40262,91397
348892;Beuda;303,7827012;303,7827012
343712;Bigues i Riells;10776,28888;114007,9043
344258;Biosca;2259,5249;2681,68614
347608;Biure;1611,105444;2378,38825
342334;Blancafort;1172,19396;4235,697997
348890;Blanes;3124,371178;83129,37489
348894;Boadella i les Escaules;645,2618322;2578,896111
348889;Bolvir;3865,390868;24859,25511
346544;Bonastre;52,34430941;8563,863251
348888;Bordils;1235,3044;11270,02881
348887;Borrassà;5484,925053;6156,488078
343719;Borredà;3737,154137;4276,618635
344254;Bossòst;840,0188232;5736,018395
346546;Bot;1153,105542;5095,428284
346545;Botarell;1877,355707;6094,769711
344257;Bovera;266,083007;2513,246067
346548;Bràfim;4245,642293;8323,587449
348886;Breda;6051,981003;16328,00349
348895;Brunyola;290,3529016;2272,050991
346547;Cabacés;2669,139497;4677,997785
339498;Cabanabona;640,4732242;1806,945736
344127;Cabanelles;443,4778835;756,8633748
344126;Cabanes;0;3607,614767
339499;Cabó;762,9959555;762,9959555
346550;Cabra del Camp;4169,509932;26088,48669
343711;Cabrera d'Anoia;11010,56781;36350,71047
343710;Cabrera de Mar;22422,30517;31962,93856
348824;Cabrils;6580,728237;51648,01246
344128;Cadaqués;8551,00679;31543,68251
348825;Calaf;6117,656816;17507,65245
346549;Calafell;1327,315497;155955,7944
348409;Calders;1899,453773;14086,43332
344129;Caldes de Malavella;14295,58894;77949,09041
348827;Caldes de Montbui;17937,77411;89490,01712
348826;Caldes d'Estrac;4309,243593;14042,47158
348412;Calella;16060,26297;35862,2001
348823;Calldetenes;2292,834946;15199,56234
348829;Callús;4340,84087;9553,127133
344130;Calonge;1961,236378;137016,333
348822;Calonge de Segarra;1845,567567;1845,567567
339495;Camarasa;4133,655407;8618,349293
343186;Camarles;1836,643778;18785,0654
346541;Cambrils;81057,98521;150499,3473
344131;Camós;2375,008685;5415,979034
344132;Campdevànol;10063,06054;18322,09441
344133;Campelles;1796,385933;1796,385933
348830;Campins;3985,807276;5393,488221
344134;Campllong;1011,120513;4864,680922
344135;Camprodon;8656,770373;19397,36173
339496;Canejan;824,5640994;937,9054854
347514;Canet d'Adri;165,4985226;6137,663153
344061;Canet de Mar;7278,868603;35382,462
344060;Canovelles;2515,487202;38612,50071
344063;Cànoves i Samalús;15291,93526;27428,49239
