Abella de la Conca;276;4;442;4;718;1283
Abrera;10763;98;0;0;10763;61902
Àger;1941;32;428;9;2369;11756
Agramunt;3646;66;0;0;3646;32927
Aguilar de Segarra;939;5;115;2;1054;1054
Agullana;0;0;0;0;0;6455
Aiguafreda;650;17;54;2;703;14651
Aiguamúrcia;2641;14;148;4;2788;18068
Aiguaviva;1154;10;72;1;1225;11136
Aitona;2893;16;0;0;2893;9181
Alàs i Cerc;1867;26;717;11;2584;4635
Albanyà;0;0;0;0;0;1610
Albatàrrec;4492;22;0;0;4492;10288
Albesa;2847;20;0;0;2847;10520
Albinyana;25;1;18;1;42;22725
Albons;504;6;104;3;608;8407
Alcanar;6405;51;241;2;6647;61577
Alcanó;802;11;0;0;802;2492
Alcarràs;13157;80;215;2;13372;35303
Alcoletge;4844;47;0;0;4844;18186
Alcover;1200;18;393;17;1593;30384
Aldover;752;11;0;0;752;2789
Alella;2956;33;1318;7;4273;62106
Alfara de Carles;498;5;320;11;819;2485
Alfarràs;3316;38;0;0;3316;10977
Alfés;0;0;88;2;88;2744
Alforja;3327;33;0;0;3327;16034
Algerri;674;5;234;6;908;4371
Alguaire;11742;98;0;0;11742;22021
Alins;0;0;11;1;11;4352
Alió;2725;16;121;3;2845;4429
Almacelles;4237;32;0;0;4237;30925
Almatret;1297;5;0;0;1297;3383
Almenar;1972;15;753;9;2724;17026
Almoster;205;2;132;4;337;10891
Alòs de Balaguer;0;0;92;4;92;1907
Alp;9131;51;362;8;9493;21493
Alpens;203;5;863;12;1066;2787
Alpicat;18568;93;0;0;18568;35668
Altafulla;1750;35;0;0;1750;31526
Alt Àneu;342;10;1797;25;2138;8455
Amer;147;5;34;2;181;8583
Amposta;4060;43;172;2;4232;89562
Anglès;618;7;516;6;1134;16615
Anglesola;2589;21;0;0;2589;10417
Arbeca;705;16;76;2;781;21020
Arbolí;0;0;189;4;189;867
Arbúcies;5874;29;0;0;5874;24806
Arenys de Mar;7273;59;0;0;7273;40957
Arenys de Munt;4374;31;0;0;4374;39826
Argelaguer;1515;5;625;6;2140;4288
Argençola;12;1;0;0;12;3610
Argentona;12602;54;250;2;12852;58034
Arnes;9;1;777;17;785;4082
Arres;0;0;319;14;319;1137
Arsèguel;0;0;0;0;0;1019
Artés;2310;41;113;3;2423;25022
Artesa de Lleida;2558;26;290;6;2848;8427
Artesa de Segre;5222;108;1947;29;7168;24908
Ascó;2304;12;476;12;2780;10257
Aspa;1046;10;417;5;1464;3162
Avià;2069;19;619;3;2688;9081
Avinyó;4317;26;214;3;4531;14978
Avinyonet del Penedès;35;1;0;0;35;16538
Avinyonet de Puigventós;0;0;37;1;37;10013
Badalona;337;3;0;0;337;234082
Badia del Vallès;682;12;0;0;682;4887
Bagà;4070;43;0;0;4070;7770
Baix Pallars;1254;20;0;0;1254;2544
Balaguer;5754;35;0;0;5754;46333
Balenyà;5564;42;0;0;5564;16020
Balsareny;3424;40;0;0;3424;16845
Banyeres del Penedès;316;5;0;0;316;30062
Banyoles;804;11;602;9;1405;67296
Barbens;2108;16;0;0;2108;6540
Barberà de la Conca;356;2;0;0;356;5698
Barberà del Vallès;11794;114;142;3;11936;80186
Barcelona;1033;24;300;8;1333;814342
Bàscara;292;4;0;0;292;10150
Bassella;762;7;154;2;916;1158
Batea;1514;23;0;0;1514;9726
Bausen;200;7;0;0;200;1077
Begues;224;11;77;1;301;51796
Begur;18130;110;481;7;18611;91829
Belianes;999;18;0;0;999;4982
Bellaguarda;65;2;0;0;65;1868
Bellcaire d'Empordà;1508;13;0;0;1508;6223
Bellcaire d'Urgell;10254;56;0;0;10254;11992
Bell-lloc d'Urgell;12388;72;0;0;12388;21366
Bellmunt del Priorat;2875;18;0;0;2875;2875
Bellmunt d'Urgell;387;6;0;0;387;3243
Bellprat;0;0;0;0;0;1073
Bellpuig;9031;77;108;2;9139;21568
Bellvei;207;4;0;0;207;25440
Bellver de Cerdanya;11414;81;3224;34;14638;31305
Bellvís;1072;26;70;1;1141;17135
Benavent de Segrià;1611;18;0;0;1611;5013
Benifallet;2198;35;0;0;2198;4425
Benissanet;550;4;0;0;550;5507
Berga;20319;144;1525;10;21844;45278
Besalú;16;1;0;0;16;18117
Bescanó;260;6;0;0;260;40376
Beuda;0;0;0;0;0;244
Bigues i Riells;6563;50;192;3;6754;114592
Biosca;2261;32;0;0;2261;2687
Biure;0;0;0;0;0;2258
Blancafort;1172;13;0;0;1172;4243
Blanes;3353;49;0;0;3353;84215
Boadella i les Escaules;0;0;0;0;0;2549
Bolvir;3804;25;0;0;3804;24437
Bonastre;0;0;0;0;0;8564
Bordils;0;0;189;4;189;11459
Borrassà;46;1;0;0;46;5763
Borredà;4004;33;0;0;4004;4543
Bossòst;841;21;0;0;841;5752
Bot;1153;18;0;0;1153;5095
Botarell;1883;18;0;0;1883;6703
Bovera;266;6;0;0;266;2513
Bràfim;4246;15;0;0;4246;8324
Breda;6052;43;0;0;6052;16328
Brunyola;290;3;0;0;290;2242
Cabacés;2669;21;0;0;2669;4678
Cabanabona;587;16;0;0;587;1753
Cabanelles;13;1;0;0;13;559
Cabanes;0;0;0;0;0;3609
Cabó;729;10;0;0;729;1362
Cabra del Camp;391;6;0;0;391;25976
Cabrera d'Anoia;0;0;0;0;0;35048
Cabrera de Mar;3271;26;1511;13;4782;31620
Cabrils;4142;50;442;10;4584;51214
Cadaqués;42;2;295;1;338;31813
Calaf;6115;57;202;9;6318;17878
Calafell;674;10;0;0;674;156015
Calders;1899;19;0;0;1899;14088
Caldes de Malavella;7754;31;0;0;7754;74116
Caldes de Montbui;9737;66;557;7;10295;90482
Caldes d'Estrac;1991;24;0;0;1991;15473
Calella;6099;57;382;5;6481;34249
Calldetenes;2292;37;0;0;2292;15199
Callús;3701;34;563;4;4265;10009
Calonge;2196;20;0;0;2196;136529
Calonge de Segarra;1691;17;155;2;1846;1846
Camarasa;4200;48;333;8;4533;9079
Camarles;4648;17;0;0;4648;21593
Cambrils;14667;238;160;1;14827;151779
Camós;1646;20;552;7;2198;5423
