Abella de la Conca;250.830;3;0.000;0;250.830;1147.302;10
Abrera;1282.277;17;0.000;0;1282.277;62686.898;300
Àger;1999.539;32;427.981;9;2427.520;11814.201;108
Agramunt;3645.669;67;0.000;0;3645.669;32927.187;258
Aguilar de Segarra;493.064;3;0.000;0;493.064;809.036;7
Agullana;0.000;0;0.000;0;0.000;6220.351;51
Aiguafreda;649.520;17;53.543;2;703.064;14650.909;99
Aiguamúrcia;2411.780;13;147.630;5;2559.410;17956.582;76
Aiguaviva;746.871;7;71.627;1;818.498;11135.890;62
Aitona;2893.067;16;0.000;0;2893.067;9197.996;58
Alàs i Cerc;424.374;5;0.000;0;424.374;4355.194;49
Albanyà;0.000;0;0.000;0;0.000;1609.993;23
Albatàrrec;875.495;16;0.000;0;875.495;9978.130;54
Albesa;2126.261;14;0.000;0;2126.261;10519.643;66
Albinyana;24.696;1;17.730;1;42.426;22896.973;145
Albons;0.000;0;0.000;0;0.000;8417.232;74
Alcanar;68.179;1;241.458;2;309.637;59188.405;378
Alcanó;802.366;11;0.000;0;802.366;2492.472;27
Alcarràs;1615.463;10;0.000;0;1615.463;30253.746;163
Alcoletge;4473.073;44;0.000;0;4473.073;18270.458;117
Alcover;755.329;15;393.172;17;1148.501;30359.205;198
Aldover;0.000;0;0.000;0;0.000;2877.867;28
Alella;1230.487;26;1317.608;7;2548.095;61075.914;306
Alfara de Carles;0.000;0;296.690;10;296.690;2491.420;32
Alfarràs;3729.296;39;0.000;0;3729.296;11392.554;93
Alfés;0.000;0;88.494;2;88.494;2743.622;27
Alforja;3327.139;33;0.000;0;3327.139;16033.468;105
Algerri;673.886;5;234.402;6;908.289;4371.304;37
Alguaire;7234.288;66;0.000;0;7234.288;20067.494;137
Alins;0.000;0;11.287;1;11.287;4351.516;48
Alió;0.000;0;0.000;0;0.000;4743.623;41
Almacelles;4236.512;32;0.000;0;4236.512;30945.104;131
Almatret;1297.342;5;0.000;0;1297.342;3399.703;24
Almenar;1975.888;15;752.588;9;2728.476;17053.645;127
Almoster;93.655;2;132.453;4;226.107;10963.259;64
Alòs de Balaguer;0.000;0;92.212;4;92.212;1906.791;19
Alp;6360.386;33;52.463;3;6412.849;21993.458;123
Alpens;602.827;6;862.774;12;1465.601;3387.604;33
Alpicat;3849.150;35;0.000;0;3849.150;35979.800;196
Altafulla;1749.912;35;0.000;0;1749.912;31569.137;189
Alt Àneu;341.563;10;1796.645;26;2138.208;8454.914;134
Amer;836.197;11;34.146;2;870.343;9272.194;85
Amposta;458.619;4;0.000;0;458.619;88807.246;429
Anglès;457.098;3;515.633;6;972.731;16615.041;117
Anglesola;2589.344;21;0.000;0;2589.344;10417.106;70
Arbeca;685.082;17;76.117;2;761.199;21000.910;134
Arbolí;0.000;0;188.948;4;188.948;867.179;11
Arbúcies;2110.962;11;0.000;0;2110.962;24875.687;121
Arenys de Mar;6939.154;55;0.000;0;6939.154;41006.496;244
Arenys de Munt;4319.834;30;0.000;0;4319.834;39654.094;189
Argelaguer;1514.901;5;625.199;6;2140.100;4288.254;33
Argençola;12.322;1;0.000;0;12.322;3615.016;35
Argentona;6295.890;50;274.818;4;6570.708;60540.856;293
Arnes;0.000;0;0.000;0;0.000;4019.810;54
Arres;0.000;0;184.998;8;184.998;1136.687;27
Arsèguel;0.000;0;0.000;0;0.000;1123.189;14
Artés;2354.816;43;113.193;3;2468.009;25044.634;156
Artesa de Lleida;2559.010;26;290.308;6;2849.317;8512.755;68
Artesa de Segre;6078.931;130;1818.950;26;7897.881;25875.059;294
Ascó;2304.354;12;475.839;12;2780.193;10256.586;86
Aspa;1046.489;10;417.348;5;1463.837;3162.178;34
Avià;1264.357;14;618.890;3;1883.246;8894.687;58
Avinyó;4316.001;26;213.677;3;4529.678;15065.042;85
Avinyonet del Penedès;35.490;1;0.000;0;35.490;16628.642;113
Avinyonet de Puigventós;0.000;0;0.000;0;0.000;9975.795;66
Badalona;282.896;1;0.000;0;282.896;235718.695;1569
Badia del Vallès;497.659;8;0.000;0;497.659;4749.015;36
Bagà;3980.265;41;0.000;0;3980.265;7673.564;72
Baix Pallars;1210.281;24;995.612;13;2205.894;3659.255;60
Balaguer;5754.147;35;0.000;0;5754.147;46332.654;272
Balenyà;5564.324;42;0.000;0;5564.324;16019.764;101
Balsareny;484.834;6;0.000;0;484.834;13102.395;101
Banyeres del Penedès;315.518;5;0.000;0;315.518;30061.884;175
Banyoles;277.153;17;575.357;8;852.510;66987.471;490
Barbens;2108.313;16;0.000;0;2108.313;6539.784;43
Barberà de la Conca;355.864;2;0.000;0;355.864;5698.090;51
Barberà del Vallès;7113.594;95;822.960;10;7936.554;80861.597;458
Barcelona;2008.967;36;0.000;0;2008.967;842273.997;5541
Bàscara;0.000;0;0.000;0;0.000;10041.414;75
Bassella;0.000;0;153.934;2;153.934;1005.890;12
Batea;1513.977;23;0.000;0;1513.977;9725.669;98
Bausen;33.843;2;0.000;0;33.843;1100.297;22
Begues;224.047;11;77.426;1;301.473;52029.910;254
Begur;3258.092;29;371.321;6;3629.413;95879.658;430
Belianes;933.341;17;0.000;0;933.341;4982.037;52
Bellaguarda;0.000;0;0.000;0;0.000;1850.188;17
Bellcaire d'Empordà;189.124;1;0.000;0;189.124;6357.113;39
Bellcaire d'Urgell;0.000;0;0.000;0;0.000;10893.016;77
Bell-lloc d'Urgell;5478.212;24;0.000;0;5478.212;21739.588;135
Bellmunt del Priorat;0.000;0;0.000;0;0.000;2562.463;25
Bellmunt d'Urgell;386.950;6;0.000;0;386.950;3243.369;27
Bellprat;0.000;0;0.000;0;0.000;1075.609;15
Bellpuig;7564.324;62;108.196;2;7672.521;21770.531;178
Bellvei;207.194;4;0.000;0;207.194;25451.799;116
Bellver de Cerdanya;2925.512;32;1833.755;17;4759.267;29635.868;224
Bellvís;886.708;22;0.000;0;886.708;17013.108;126
Benavent de Segrià;1223.891;16;0.000;0;1223.891;4625.756;50
Benifallet;0.000;0;0.000;0;0.000;4603.389;54
Benissanet;569.055;5;0.000;0;569.055;5517.496;51
Berga;3302.479;41;91.957;4;3394.436;41536.222;292
Besalú;50.420;2;0.000;0;50.420;18150.451;128
Bescanó;36.066;1;0.000;0;36.066;40131.346;189
Beuda;0.000;0;0.000;0;0.000;243.907;4
Bigues i Riells;3656.222;39;191.735;3;3847.957;114348.126;334
Biosca;0.000;0;0.000;0;0.000;2515.771;36
Biure;0.000;0;0.000;0;0.000;2258.318;26
Blancafort;915.434;19;0.000;0;915.434;4025.519;54
Blanes;3234.946;46;0.000;0;3234.946;85805.764;569
Boadella i les Escaules;0.000;0;0.000;0;0.000;2548.342;30
Bolvir;4012.031;27;0.000;0;4012.031;24545.715;90
Bonastre;0.000;0;0.000;0;0.000;8563.825;55
Bordils;0.000;0;179.435;4;179.435;11447.090;48
Borrassà;46.191;1;0.000;0;46.191;5751.532;45
Borredà;0.000;0;0.000;0;0.000;3850.747;37
Bossòst;786.188;19;0.000;0;786.188;5752.251;58
Bot;0.000;0;0.000;0;0.000;5095.428;39
Botarell;1882.564;18;0.000;0;1882.564;6702.741;52
Bovera;337.592;7;0.000;0;337.592;2559.022;25
Bràfim;0.000;0;0.000;0;0.000;7488.412;41
Breda;5867.884;42;0.000;0;5867.884;16328.003;97
Brunyola i Sant Martí Sapresa;290.353;3;0.000;0;290.353;2241.669;10
Cabacés;2529.537;22;0.000;0;2529.537;4711.967;35
Cabanabona;586.665;16;0.000;0;586.665;1753.137;28
Cabanelles;0.000;0;0.000;0;0.000;517.620;12
Cabanes;0.000;0;0.000;0;0.000;3613.997;27
Cabó;0.000;0;0.000;0;0.000;1287.752;23
Cabra del Camp;391.162;6;0.000;0;391.162;26357.022;82
Cabrera d'Anoia;0.000;0;0.000;0;0.000;35059.194;120
Cabrera de Mar;3276.988;26;1510.785;14;4787.773;31633.363;184
Cabrils;4102.107;49;376.366;9;4478.473;50743.557;258
Cadaqués;0.000;0;0.000;0;0.000;31887.279;212
Calaf;716.859;15;202.476;9;919.335;17515.999;126
Calafell;727.507;25;141.073;2;868.580;156395.144;774
Calders;1899.454;19;0.000;0;1899.454;14118.219;59
Caldes de Malavella;7790.062;32;0.000;0;7790.062;74806.526;354
Caldes de Montbui;2506.500;27;160.289;5;2666.788;88098.055;338
Caldes d'Estrac;247.249;7;0.000;0;247.249;15455.191;77
Calella;3087.628;33;0.000;0;3087.628;34489.618;171
Calldetenes;2181.609;36;0.000;0;2181.609;15199.122;124
Callús;3701.228;34;563.466;4;4264.694;10008.971;67
Calonge de Segarra;1023.613;15;154.530;2;1178.142;1692.595;18
Calonge i Sant Antoni;1999.128;19;0.000;0;1999.128;135953.881;632
Camarasa;4351.966;51;381.868;9;4733.834;9412.383;110
Camarles;47.384;1;0.000;0;47.384;19383.620;126
Cambrils;9170.272;190;160.450;1;9330.722;153938.111;1066
Camós;1288.547;16;653.127;10;1941.674;5228.809;52
Campdevànol;2991.896;30;0.000;0;2991.896;15556.743;115
Campelles;551.683;8;0.000;0;551.683;2083.845;20
Campins;519.848;4;0.000;0;519.848;5550.936;24
Campllong;968.527;5;0.000;0;968.527;4836.178;27
Camprodon;6571.918;68;0.000;0;6571.918;20352.585;128
Canejan;380.828;6;0.000;0;380.828;983.423;19
Canet d'Adri;165.499;1;0.000;0;165.499;6137.663;22
Canet de Mar;1877.291;25;0.000;0;1877.291;36441.420;284
Canovelles;2262.313;23;519.220;5;2781.532;42441.164;159
Cànoves i Samalús;1888.898;25;0.000;0;1888.898;26359.554;115
Cantallops;0.000;0;0.000;0;0.000;5377.926;48
Canyelles;15.461;1;0.000;0;15.461;57753.572;230
Capafonts;1581.898;20;0.000;0;1581.898;2233.871;22
Capçanes;200.876;4;0.000;0;200.876;2618.334;22
Capellades;146.798;2;0.000;0;146.798;16364.994;91
Capmany;0.000;0;0.000;0;0.000;5780.492;65
Capolat;0.000;0;0.000;0;0.000;140.859;1
Cardedeu;6614.685;62;0.000;0;6614.685;68462.855;368
Cardona;8964.052;55;197.425;6;9161.477;20502.645;132
Carme;0.000;0;0.000;0;0.000;9550.122;41
Caseres;895.647;12;0.000;0;895.647;2242.121;22
Cassà de la Selva;2770.612;11;0.000;0;2770.612;37691.380;210
Casserres;2192.284;17;367.442;9;2559.726;8246.331;82
Castellar de la Ribera;0.000;0;0.000;0;0.000;320.632;2
Castellar del Riu;0.000;0;0.000;0;0.000;493.011;1
